,date,symbol,symbol_name,action,price,shares,commission,return
198,2019-12-02,513500,标普500ETF,sell,1.054,,1.83396,0.05400000000000005
199,2019-12-02,510880,红利ETF,sell,1.97,,1.3593,-0.018435475834579045
200,2019-12-02,511270,10年地方债ETF,buy,85.96,100.0,2.5787999999999998,
201,2019-12-02,518880,黄金ETF,buy,3.269,2800.0,2.74596,
202,2019-12-02,513100,纳指ETF,buy,0.624,11800.0,2.20896,
203,2019-12-02,513500,标普500ETF,buy,1.054,5600.0,1.77072,
204,2019-12-02,510880,红利ETF,buy,1.97,2400.0,1.4183999999999999,
205,2020-01-02,511270,10年地方债ETF,sell,87.73,,2.6319,0.02059097254537006
206,2020-01-02,518880,黄金ETF,sell,3.37,,2.8307999999999995,0.030896298562251446
207,2020-01-02,513100,纳指ETF,sell,0.648,,2.29392,0.0384615384615385
208,2020-01-02,513500,标普500ETF,sell,1.065,,1.7892,0.010436432637571061
209,2020-01-02,510880,红利ETF,sell,2.152,,1.54944,0.09238578680203054
210,2020-01-02,511270,10年地方债ETF,buy,87.73,100.0,2.6319,
211,2020-01-02,518880,黄金ETF,buy,3.37,2700.0,2.7297,
212,2020-01-02,513100,纳指ETF,buy,0.648,11700.0,2.27448,
213,2020-01-02,513500,标普500ETF,buy,1.065,5700.0,1.8211499999999998,
214,2020-01-02,510880,红利ETF,buy,2.152,2200.0,1.42032,
215,2020-02-03,511270,10年地方债ETF,sell,90.64,,2.7192,0.033169953265701546
216,2020-02-03,518880,黄金ETF,sell,3.52,,2.8512,0.04451038575667653
217,2020-02-03,513100,纳指ETF,sell,0.661,,2.32011,0.020061728395061745
218,2020-02-03,513500,标普500ETF,sell,1.058,,1.80918,-0.006572769953051545
219,2020-02-03,510880,红利ETF,sell,1.78,,1.1747999999999998,-0.17286245353159854
220,2020-02-03,511270,10年地方债ETF,buy,90.64,100.0,2.7192,
221,2020-02-03,518880,黄金ETF,buy,3.52,2600.0,2.7455999999999996,
222,2020-02-03,513100,纳指ETF,buy,0.661,11300.0,2.24079,
223,2020-02-03,513500,标普500ETF,buy,1.058,5700.0,1.80918,
224,2020-02-03,510880,红利ETF,buy,1.78,2700.0,1.4418,
225,2020-03-02,511270,10年地方债ETF,sell,91.01,,2.7302999999999997,0.004082082965578162
226,2020-03-02,518880,黄金ETF,sell,3.542,,2.762759999999999,0.006249999999999942
227,2020-03-02,513100,纳指ETF,sell,0.708,,2.40012,0.07110438729198174
228,2020-03-02,513500,标普500ETF,sell,1.035,,1.7698499999999995,-0.021739130434782733
229,2020-03-02,510880,红利ETF,sell,1.999,,1.61919,0.12303370786516858
230,2020-03-02,511270,10年地方债ETF,buy,91.01,100.0,2.7302999999999997,
231,2020-03-02,518880,黄金ETF,buy,3.542,2700.0,2.8690199999999995,
232,2020-03-02,513100,纳指ETF,buy,0.708,10800.0,2.2939199999999995,
233,2020-03-02,513500,标普500ETF,buy,1.035,5900.0,1.8319499999999995,
234,2020-03-02,510880,红利ETF,buy,1.999,2400.0,1.43928,
235,2020-04-01,511270,10年地方债ETF,sell,92.25,,2.7674999999999996,0.01362487638721014
236,2020-04-01,518880,黄金ETF,sell,3.528,,2.8576799999999998,-0.003952569169960415
237,2020-04-01,513100,纳指ETF,sell,0.613,,1.9861199999999997,-0.13418079096045193
238,2020-04-01,513500,标普500ETF,sell,0.863,,1.5275099999999997,-0.166183574879227
239,2020-04-01,510880,红利ETF,sell,1.745,,1.2564,-0.12706353176588295
240,2020-04-01,511270,10年地方债ETF,buy,92.25,100.0,2.7674999999999996,
241,2020-04-01,518880,黄金ETF,buy,3.528,2500.0,2.646,
242,2020-04-01,513100,纳指ETF,buy,0.613,11800.0,2.1700199999999996,
243,2020-04-01,513500,标普500ETF,buy,0.863,6700.0,1.73463,
244,2020-04-01,510880,红利ETF,buy,1.745,2600.0,1.3611,
245,2020-05-06,511270,10年地方债ETF,sell,93.849,,2.8154699999999995,0.017333333333333374
246,2020-05-06,518880,黄金ETF,sell,3.741,,2.8057499999999997,0.060374149659863964
247,2020-05-06,513100,纳指ETF,sell,0.75,,2.655,0.22349102773246332
248,2020-05-06,513500,标普500ETF,sell,0.974,,1.9577399999999998,0.12862108922363846
249,2020-05-06,510880,红利ETF,sell,1.813,,1.41414,0.03896848137535807
250,2020-05-06,511270,10年地方债ETF,buy,93.849,100.0,2.8154699999999995,
251,2020-05-06,518880,黄金ETF,buy,3.741,2500.0,2.8057499999999997,
252,2020-05-06,513100,纳指ETF,buy,0.75,10300.0,2.3175,
253,2020-05-06,513500,标普500ETF,buy,0.974,6300.0,1.8408599999999997,
254,2020-05-06,510880,红利ETF,buy,1.813,2700.0,1.4685299999999997,
255,2020-06-01,511270,10年地方债ETF,sell,92.8,,2.784,-0.011177529861799344
